UF,beta,gamma,mu
MG,3.682026,3.469695,0.150912
SP,4.894509,4.361874,0.4468798
RJ,3.433249,2.934352,0.4101477
ES,2.857486,2.668454,0.1158934
SC,4.872212,4.722634,0.10062649
AM,4.3083542,3.9031901,0.3219065
RR,0.2195666,0.104922,0.005381836
AP,4.1535158,3.9566926,0.11944938
PA,4.8295755,4.3137175,0.41973723
RS,4.818277,4.584414,0.177453
TO,0.1704123,0.05229068,0.003664875
RO,1.2764093,1.1459257,0.044059423
AC,0.474196,0.3809156,0.015400634
PR,2.117736,1.971951,0.1171528
BR,4.8823983,4.4841885,0.2888625
MA,4.9448874,4.5836499,0.26644385
PI,0.9152517,0.8149696,0.03184001
CE,2.8988521,2.6346855,0.19535387
RN,4.6895528,4.4322764,0.20057767
PB,3.4229203,3.1842656,0.16219021
PE,4.998939,4.497755,0.4243345
AL,0.9119699,0.7793511,0.04749498
SE,1.1509291,1.0438315,0.02145917
BA,4.944096,4.7007708,0.17697427
MT,2.585586,2.45523,0.08181761
MS,1.006709,0.9393454,0.03060147
GO,1.348864,1.252777,0.05137195
DF,4.9308081,4.7923722,0.085074404
